Model,Detector,Result,Time
VGG-Face,opencv,"[False, False, False, True]",15.530239343643188
VGG-Face,ssd,"[False, False, False, False]",1.7026252746582031
VGG-Face,dlib,"[True, False, False, True]",82.10551309585571
VGG-Face,mtcnn,"[True, False, False, True]",394.26156187057495
VGG-Face,fastmtcnn,"[False, False, False, False]",0.013833284378051758
VGG-Face,retinaface,"[True, False, False, True]",44.3843138217926
VGG-Face,mediapipe,"[False, False, False, False]",0.014037132263183594
VGG-Face,yolov8,"[True, False, False, True]",13.9543776512146
VGG-Face,yunet,"[False, False, False, False]",0.010114908218383789
VGG-Face,centerface,"[True, False, False, True]",73.01617217063904
Facenet,opencv,"[False, False, False, True]",38.4589626789093
Facenet,ssd,"[False, False, False, False]",2.1054940223693848
Facenet,dlib,"[True, False, False, True]",82.57494902610779
Facenet,mtcnn,"[True, False, False, True]",396.7808916568756
Facenet,fastmtcnn,"[False, False, False, False]",0.013033866882324219
Facenet,retinaface,"[True, False, False, True]",40.81676506996155
Facenet,mediapipe,"[False, False, False, False]",0.01303410530090332
Facenet,yolov8,"[True, False, False, True]",10.675558805465698
Facenet,yunet,"[False, False, False, False]",0.01102900505065918
Facenet,centerface,"[True, False, False, True]",76.00028777122498
OpenFace,opencv,"[False, False, False, False]",34.630956411361694
OpenFace,ssd,"[False, False, False, False]",1.5310497283935547
OpenFace,dlib,"[False, False, False, False]",80.31831812858582
OpenFace,mtcnn,"[False, False, False, False]",396.3622348308563
OpenFace,fastmtcnn,"[False, False, False, False]",0.013147354125976562
OpenFace,retinaface,"[False, False, False, False]",39.40452003479004
OpenFace,mediapipe,"[False, False, False, False]",0.013190984725952148
OpenFace,yolov8,"[False, False, False, False]",9.650648593902588
OpenFace,yunet,"[False, False, False, False]",0.01112222671508789
OpenFace,centerface,"[False, False, False, False]",73.56366753578186
DeepFace,opencv,"[False, False, False, False]",0.0
DeepFace,ssd,"[False, False, False, False]",0.0
DeepFace,dlib,"[False, False, False, False]",0.0
DeepFace,mtcnn,"[False, False, False, False]",0.0
DeepFace,fastmtcnn,"[False, False, False, False]",0.0
DeepFace,retinaface,"[False, False, False, False]",0.0
DeepFace,mediapipe,"[False, False, False, False]",0.0
DeepFace,yolov8,"[False, False, False, False]",0.0
DeepFace,yunet,"[False, False, False, False]",0.0
DeepFace,centerface,"[False, False, False, False]",0.0
DeepID,opencv,"[False, False, False, False]",33.11628603935242
DeepID,ssd,"[False, False, False, False]",1.2652866840362549
DeepID,dlib,"[False, False, False, False]",84.81418466567993
DeepID,mtcnn,"[False, False, False, False]",393.64603543281555
DeepID,fastmtcnn,"[False, False, False, False]",0.013034343719482422
DeepID,retinaface,"[False, False, False, False]",37.084118366241455
DeepID,mediapipe,"[False, False, False, False]",0.01303410530090332
DeepID,yolov8,"[False, False, False, False]",9.099912881851196
DeepID,yunet,"[False, False, False, False]",0.01002645492553711
DeepID,centerface,"[False, False, False, False]",77.17302107810974
Dlib,opencv,"[False, False, False, True]",36.65254497528076
Dlib,ssd,"[False, False, False, False]",3.2181506156921387
Dlib,dlib,"[True, False, False, True]",85.01215982437134
Dlib,mtcnn,"[True, False, False, True]",399.62601828575134
Dlib,fastmtcnn,"[False, False, False, False]",0.027661800384521484
Dlib,retinaface,"[True, False, False, True]",40.421123027801514
Dlib,mediapipe,"[False, False, False, False]",0.012547016143798828
Dlib,yolov8,"[True, False, False, True]",13.12406873703003
Dlib,yunet,"[False, False, False, False]",0.010026216506958008
Dlib,centerface,"[True, False, False, True]",77.48221802711487
ArcFace,opencv,"[False, False, False, True]",35.81810140609741
ArcFace,ssd,"[False, False, False, False]",1.8120794296264648
ArcFace,dlib,"[True, False, False, True]",81.17319440841675
ArcFace,mtcnn,"[True, False, False, True]",397.73531436920166
ArcFace,fastmtcnn,"[False, False, False, False]",0.013419151306152344
ArcFace,retinaface,"[True, False, False, True]",37.324540853500366
ArcFace,mediapipe,"[False, False, False, False]",0.013035058975219727
ArcFace,yolov8,"[True, False, False, True]",10.116015911102295
ArcFace,yunet,"[False, False, False, False]",0.010527610778808594
ArcFace,centerface,"[True, False, False, True]",75.52766704559326
